,Kind,Name,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethod,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,Change
18,Public Class,com.android.exchange.adapter.EmailSyncParser,5,1,5,0,26,8,68,29,14,703,3,91,Lines Decreased
19,Class,com.android.exchange.adapter.EmailSyncParser.ServerChange,1,1,0,0,1,4,1,1,0,12,1,0,No Change
20,Public Class,com.android.exchange.adapter.FolderSyncParser,4,1,9,0,18,10,57,18,7,522,3,78,Lines Increased
21,Private Static Class,com.android.exchange.adapter.FolderSyncParser.SyncOptions,1,1,0,0,1,2,1,1,0,8,1,0,Lines Increased
22,Public Class,com.android.exchange.adapter.GalParser,4,1,3,0,7,1,31,7,3,104,2,71,Lines Increased
23,Public Class,com.android.exchange.adapter.ItemOperationsParser,3,1,3,0,6,4,31,7,4,84,2,71,Lines Increased
24,Public Class,com.android.exchange.adapter.MeetingResponseParser,3,1,2,0,3,0,27,3,2,34,2,0,Lines Increased
25,Public Class,com.android.exchange.adapter.MoveItemsParser,3,1,2,0,6,3,30,6,5,81,2,66,Modified
26,Public Abstract Class,com.android.exchange.adapter.Parser,2,1,10,10,24,14,24,24,12,333,1,87,Lines Decreased
27,Public Class,com.android.exchange.adapter.Parser.EasParserException,1,1,0,0,2,0,2,2,0,9,2,0,No Change
28,Public Class,com.android.exchange.adapter.Parser.EmptyStreamException,0,1,0,0,0,0,0,0,0,3,3,0,No Change
29,Public Class,com.android.exchange.adapter.Parser.EodException,0,1,0,0,0,0,0,0,0,3,2,0,No Change
30,Public Class,com.android.exchange.adapter.Parser.EofException,0,1,0,1,0,0,0,0,0,3,2,0,No Change
31,Public Class,com.android.exchange.adapter.Parser.Tag,2,1,2,0,3,4,3,3,3,28,1,41,No Change
32,Public Class,com.android.exchange.adapter.PingParser,3,1,3,0,9,4,34,10,7,119,2,70,Lines Increased
33,Public Class,com.android.exchange.adapter.ProvisionParser,6,1,3,0,19,7,47,23,8,490,2,88,Lines Increased
34,Public Class,com.android.exchange.adapter.SearchParser,4,1,3,0,6,6,30,6,3,105,2,61,Lines Increased
35,Public Class,com.android.exchange.adapter.SendMailParser,2,1,1,0,3,2,27,3,3,24,2,33,Lines Increased
36,Public Class,com.android.exchange.adapter.Serializer,2,1,4,0,18,5,20,20,16,191,1,79,Modified
